Id,SalePrice
1461,122226.125
1462,168278.375
1463,186067.125
1464,198178.875
1465,204980.875
1466,165743.125
1467,169362.25
1468,156644.875
1469,204278.75
1470,118822.375
1471,153364.25
1472,102181.125
1473,96734.875
1474,149657.625
1475,107156.875
1476,368188.5
1477,260363.125
1478,307129.75
1479,302951.25
1480,457842.75
1481,317851.25
1482,205792.375
1483,173655.875
1484,166808.875
1485,180356.25
1486,193547.25
1487,328547.625
1488,223949.375
1489,207233.125
1490,247827.375
1491,201223.875
1492,95013.375
1493,190825.875
1494,283537.375
1495,282531.625
1496,226312.375
1497,171230.375
1498,185854.625
1499,159989.875
1500,150555.875
1501,184040.375
1502,136669.375
1503,356109.625
1504,237237.125
1505,228052.375
1506,192538.375
1507,252541.625
1508,198841.875
1509,158099.5
1510,150345.875
1511,166182.625
1512,165157.75
1513,153602.5
1514,146507.5
1515,203877.0
1516,158544.875
1517,178817.375
1518,120233.875
1519,216893.375
1520,124070.75
1521,138673.375
1522,183470.5
1523,110705.375
1524,117513.875
1525,120838.5
1526,100196.9375
1527,99029.5
1528,139417.0
1529,153276.125
1530,207528.875
1531,109827.375
1532,81112.375
1533,158490.875
1534,121824.0
1535,153769.375
1536,104156.875
1537,39808.6875
1538,159685.3125
1539,202825.5
1540,115555.5625
1541,139044.375
1542,164219.875
1543,189542.75
1544,76777.25
1545,120655.9375
1546,132470.875
1547,141847.5
1548,147427.875
1549,119696.875
1550,141709.875
1551,104033.875
1552,143711.5
1553,150385.5
1554,109644.75
1555,167415.375
1556,53785.5
1557,142801.25
1558,110248.375
1559,59540.0625
1560,113001.25
1561,146966.875
1562,133825.875
1563,127184.875
1564,154406.625
1565,149581.125
1566,231419.625
1567,76045.0
1568,220291.625
1569,136346.125
1570,133926.875
1571,94709.125
1572,149124.375
1573,131931183413027.0
1574,130649.375
1575,240423.125
1576,225272.375
1577,187378.375
1578,148208.5
1579,137605.0
1580,188872.125
1581,169154.875
1582,127332.375
1583,281035.375
1584,217716.625
1585,124880.875
1586,76239.75
1587,102841.5
1588,162144.875
1589,102051.0625
1590,129736.375
1591,85701.875
1592,139081.875
1593,126183.375
1594,235544726864762.38
1595,110841.5
1596,222187.625
1597,208544.375
1598,221614.25
1599,179529.625
1600,163150.125
1601,46630.375
1602,127040.125
1603,40144.625
1604,261721.875
1605,228905.625
1606,157373.625
1607,181520.125
1608,207371.125
1609,192896.625
1610,161262.25
1611,145668.125
1612,181898.875
1613,172839.875
1614,128155.375
1615,93234.375
1616,67014.375
1617,90550.375
1618,149158.625
1619,155229.875
1620,183614.5
1621,135106.5
1622,146029.375
1623,258695.5
1624,210837.25
1625,119157.875
1626,169770.375
1627,190359.125
1628,276491.75
1629,177794.0
1630,357625.375
1631,253318.375
1632,255647.375
1633,173932.5
1634,185332.625
1635,165091.625
1636,147310.625
1637,202533.625
1638,192835.6875
1639,187521.125
1640,248358.5
1641,176544.125
1642,256365.125
1643,227540.125
1644,237398.375
1645,212287.125
1646,157516.75
1647,160586.625
1648,122336.125
1649,130526.375
1650,107348.375
1651,118500.5
1652,99149.375
1653,102905.125
1654,146300.125
1655,122077.125
1656,142991.125
1657,150992.625
1658,145961.625
1659,122858.375
1660,147806.625
1661,423447.125
1662,374518.0
1663,378950.25
1664,507564.75
1665,329527.75
1666,297372.875
1667,374046.0625
1668,349893.125
1669,306674.25
1670,348787.25
1671,270195.375
1672,391867.75
1673,289174.75
1674,248338.875
1675,201838.875
1676,204449.375
1677,214687.375
1678,458477.1875
1679,377556.75
1680,331305.5
1681,270521.75
1682,318997.875
1683,193071.125
1684,168612.375
1685,167912.375
1686,167570.375
1687,162567.75
1688,189586.75
1689,186791.875
1690,187820.375
1691,177281.125
1692,247822.75
1693,176441.5
1694,180159.625
1695,166767.5
1696,273448.0
1697,171265.5
1698,335024.5
1699,311566.125
1700,273315.125
1701,276822.625
1702,239620.375
1703,229166.375
1704,265356.875
1705,240092.375
1706,-233.875
1707,225542.625
1708,208469.375
1709,250253.875
1710,227100.375
1711,262327.375
1712,258820.625
1713,280805.25
1714,225531.625
1715,207088.375
1716,186080.875
1717,172694.375
1718,146272.875
1719,230139.25
1720,250778.375
1721,153061.375
1722,115397.375
